Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Elijah Arroyo,TE,SEA,@ATL,3,2.4,3.6,1.8,2.4,3,8.1,6.8,Main
Brandin Cooks,WR,BUF,CIN,2.9,2.5,2.9,2,2.5,2.9,8.6,7.5,Main
Tyler Badie,RB,DEN,@LV,2.9,2.2,2.9,1.5,2.2,2.9,7.7,6.2,Main
Isaiah Davis,RB,NYJ,MIA,2.9,2.7,2.9,2.4,2.7,2.9,8.3,7.7,Main
Josh Whyle,TE,GB,CHI,2.8,2.3,3.3,1.7,2.2,2.8,7.7,6.6,Main
Ian Thomas,TE,LV,DEN,2.8,2.1,3.4,1.5,2.1,2.8,7.2,5.8,Main
Foster Moreau,TE,NO,@TB,2.8,2.2,3.4,1.7,2.2,2.8,7.5,6.3,Main
Jahan Dotson,WR,PHI,@LAC,2.8,2.3,2.8,1.8,2.3,2.8,7.9,6.7,Monday
Tutu Atwell,WR,LA,@ARI,2.7,2.2,2.6,1.8,2.2,2.6,8,7,Main
Xavier Smith,WR,LA,@ARI,2.7,2.2,2.7,1.7,2.2,2.7,7.9,6.8,Main
Rasheen Ali,RB,BAL,PIT,2.6,2.1,2.6,1.7,2.1,2.6,7.1,6.2,Main
Adam Trautman,TE,DEN,@LV,2.5,2,3,1.5,2,2.5,7.1,6.1,Main
Evan Hull,RB,NO,@TB,2.5,2.2,2.5,2,2.2,2.5,3.2,2.4,Main
Isaiah Williams,WR,NYJ,MIA,2.4,1.9,2.4,1.4,1.9,2.4,7.2,6.2,Main
Jeremy Ruckert,TE,NYJ,MIA,2.4,1.8,2.9,1.2,1.8,2.4,6.6,5.3,Main
Malik Davis,RB,DAL,@DET,2.3,2.2,2.3,2.2,2.2,2.3,6.9,6.7,Thursday
Tim Patrick,WR,JAX,IND,2.3,1.9,2.3,1.4,1.9,2.3,6.9,5.9,Main
JuJu Smith-Schuster,WR,KC,HOU,2.3,1.9,2.3,1.4,1.9,2.3,6.7,5.6,Sunday
Chris Brooks,RB,GB,CHI,2.2,1.8,2.2,1.4,1.8,2.2,6.4,5.4,Main
Gage Larvadain,WR,CLE,TEN,2.1,1.7,2.1,1.3,1.7,2.1,6.3,5.4,Main
Anthony Firkser,TE,DET,DAL,2.1,1.7,2.5,1.2,1.7,2.1,6.3,5.3,Thursday
